date,Tag,study_sessions
2022-09-16,writing stories,1
2022-09-18,writing stories,2
2022-09-21,Unset,1
2022-10-02,studying italian,1
2022-10-03,studying italian,1
2022-10-03,writing stories,1
2022-10-04,English,2
2022-10-04,studying italian,2
2022-10-05,writing stories,1
2022-10-06,English,1
2022-10-06,writing stories,1
2022-10-07,studying italian,1
2022-10-07,writing stories,1
2022-10-08,English,1
2022-10-08,studying italian,1
2022-10-09,English,1
2022-10-09,writing stories,1
2022-10-11,English,1
2022-10-14,English,1
2022-10-17,English,1
2022-10-20,English,2
2022-10-24,studying italian,1
2022-11-02,English,1
2022-11-03,Unset,1
2022-11-03,studying italian,1
2022-11-05,studying italian,2
2022-11-07,studying italian,1
2022-11-13,English,2
2022-11-13,writing stories,1
2022-11-14,English,2
2022-11-15,English,1
2022-11-18,writing stories,1
2022-11-19,writing stories,1
2022-11-21,studying italian,2
2022-11-22,English,2
2022-11-23,English,2
2022-11-25,English,1
2022-11-25,Study,2
2022-11-25,writing stories,1
2022-11-26,English,1
2022-11-26,writing stories,1
2022-11-27,English,1
2022-11-28,English,4
2022-11-30,Study,1
2022-12-05,studying italian,1
2022-12-07,studying italian,1
2022-12-10,English,1
2022-12-14,studying italian,1
2022-12-17,English,1
2022-12-17,writing stories,1
2022-12-18,English,1
2022-12-29,English,3
2022-12-30,English,1
2023-01-02,English,2
2023-01-03,English,1
2023-01-04,English,2
2023-01-05,English,2
2023-01-07,English,4
2023-01-11,English,1
2023-01-12,English,1
2023-01-14,English,1
2023-01-16,English,1
2023-01-17,English,1
2023-01-27,studying italian,1
2023-03-18,SPS,1
2023-03-22,MATH102,1
2023-03-22,NS102,2
2023-03-23,MATH102,1
2023-03-24,MATH102,1
2023-03-24,SPS102 1,1
2023-03-25,HIST192,1
2023-03-27,SPS,1
2023-03-30,IF100,1
2023-03-30,NS102,2
2023-03-31,NS102,2
2023-04-01,MATH102,2
2023-04-01,SPS102 1,2
2023-04-02,IF100,1
2023-04-02,NS102,2
2023-04-02,SPS102 1,1
2023-04-03,NS102,1
2023-04-03,SPS102 1,1
2023-04-04,SPS102 1,1
2023-04-06,HIST192,1
2023-04-07,IF100,4
2023-04-08,SPS102 1,4
2023-04-09,NS102,1
2023-04-09,SPS102 1,5
2023-04-10,HIST192,1
2023-04-11,HIST192,2
2023-04-12,HIST192,2
2023-04-12,NS102,1
2023-04-12,SPS102 1,2
2023-04-13,NS102,4
2023-04-13,SPS102 1,2
2023-04-14,NS102,3
2023-04-14,SPS102 1,2
2023-04-15,HIST192,4
2023-04-20,MATH102,1
2023-04-23,MATH102,4
2023-04-23,NS102,2
2023-04-24,SPS102 1,1
2023-04-25,TLL102,1
2023-04-26,TLL102,4
2023-04-27,MATH102,3
2023-04-28,MATH102,2
2023-05-17,IF100,2
2023-05-19,SPS102 1,1
2023-05-20,NS102,3
2023-05-20,SPS102 1,2
2023-05-21,SPS102 1,2
2023-05-21,Unset,3
2023-05-24,MATH102,1
2023-05-25,MATH102,4
2023-05-31,MATH102,2
2023-05-31,NS102,2
2023-05-31,Unset,3
2023-06-01,IF100,3
2023-06-01,Unset,1
2023-06-02,Unset,4
2023-06-03,SPS102 1,4
2023-06-04,NS102,3
2023-06-04,Unset,1
2023-10-22,SPS102,1
2023-11-04,Unset,3
2023-11-05,Unset,3
2023-11-08,MATH102,1
2023-11-09,MATH102,3
2023-11-09,TLL102,1
2023-11-09,Unset,2
2023-11-10,Unset,7
2023-11-11,NS102,1
2023-11-11,SPS102,1
2023-11-12,Unset,1
2023-11-15,Unset,8
2023-11-16,Unset,5
